
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
78:3E:53:B3:67:8E, 2019-04-12 17:12:21, 2019-04-12 17:12:21, 11, 130, WPA2, CCMP, PSK, -96,        1,        0,   0.  0.  0.  0,   8, SKYA4CDB, 
02:37:B7:21:06:41, 2019-04-12 17:12:21, 2019-04-12 17:12:47, 11, 130, OPN, ,   , -92,        4,        0,   0.  0.  0.  0,  15, BTWifi-with-FON, 
48:D3:43:77:24:F9, 2019-04-12 17:12:22, 2019-04-12 17:12:48,  6, 130, WPA2, CCMP TKIP, PSK, -92,        2,        0,   0.  0.  0.  0,   9, VM3059178, 
22:37:B7:21:06:41, 2019-04-12 17:12:39, 2019-04-12 17:12:47, 11, 130, WPA2 WPA, CCMP TKIP, MGT, -92,        3,        0,   0.  0.  0.  0,   8, BTWifi-X, 
C0:3E:0F:FD:5A:8A, 2019-04-12 17:12:22, 2019-04-12 17:12:48,  6, 130, WPA2, CCMP, PSK, -91,        3,        2,   0.  0.  0.  0,   8, SKYA4CDB, 
50:0F:F5:4B:E0:01, 2019-04-12 17:12:22, 2019-04-12 17:12:48,  6, 270, WPA2, CCMP TKIP, PSK, -91,        7,        0,   0.  0.  0.  0,   4, WOPR, 
C0:3E:0F:51:29:21, 2019-04-12 17:12:30, 2019-04-12 17:12:47, 11, 130, WPA2, CCMP, PSK, -91,        4,        0,   0.  0.  0.  0,   8, SKYEBACF, 
5A:D3:43:77:24:F9, 2019-04-12 17:12:31, 2019-04-12 17:12:48,  6, 130, WPA2, CCMP, MGT, -91,        5,        0,   0.  0.  0.  0,  12, Virgin Media, 
C8:3A:35:E1:B1:C0, 2019-04-12 17:12:21, 2019-04-12 17:12:47, 11, 130, WPA2, CCMP TKIP, PSK, -91,        7,        0,   0.  0.  0.  0,  13, EXT-VM1367200, 
00:37:B7:21:06:41, 2019-04-12 17:12:47, 2019-04-12 17:12:47, 11, 130, WPA2, CCMP, PSK, -91,        1,        0,   0.  0.  0.  0,  11, BTHub5-8973, 
50:0F:F5:4B:DF:F1, 2019-04-12 17:12:22, 2019-04-12 17:12:48,  6, 270, WPA2, CCMP TKIP, PSK, -90,        3,        0,   0.  0.  0.  0,   4, WOPR, 
40:9B:CD:9A:8B:C7, 2019-04-12 17:12:17, 2019-04-12 17:12:51,  2, 130, WPA2, CCMP TKIP, PSK, -88,        9,        0,   0.  0.  0.  0,  14, TALKTALK9A8BC7, 
A8:9A:93:17:99:DE, 2019-04-12 17:12:15, 2019-04-12 17:12:50,  6, 130, WPA2, CCMP, PSK, -81,       24,        0,   0.  0.  0.  0,  12, PLUSNET-2QMX, 
24:20:C7:65:53:5C, 2019-04-12 17:12:14, 2019-04-12 17:12:49, 11, 195, WPA2, CCMP, PSK, -78,       28,        1,   0.  0.  0.  0,  11, BTHub6-7Z92, 
26:20:C7:65:55:5D, 2019-04-12 17:12:14, 2019-04-12 17:12:49, 11, 195, OPN, ,   , -78,       25,        0,   0.  0.  0.  0,  15, BTWifi-with-FON, 
28:6C:07:EA:8B:FD, 2019-04-12 17:12:15, 2019-04-12 17:12:52,  7, 130, WPA2, CCMP, PSK, -53,       45,      464,   0.  0.  0.  0,  10, MahoneyAmp, 
0C:F9:C0:D2:4F:7E, 2019-04-12 17:12:41, 2019-04-12 17:12:41,  1,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
78:AB:BB:EE:F5:87, 2019-04-12 17:12:35, 2019-04-12 17:12:35, -92,        1, (not associated) ,
C0:D0:12:AF:6F:2D, 2019-04-12 17:12:33, 2019-04-12 17:12:33, -89,        1, (not associated) ,SKY23BB4
3C:A3:08:7F:49:A5, 2019-04-12 17:12:49, 2019-04-12 17:12:49, -87,        1, (not associated) ,BTHub5-CXJ5
60:02:B4:12:34:2C, 2019-04-12 17:12:16, 2019-04-12 17:12:46, -78,       43, (not associated) ,Mahoney
B4:F7:A1:EA:5E:2D, 2019-04-12 17:12:19, 2019-04-12 17:12:19, -46,        2, (not associated) ,
C2:69:C4:E2:4E:66, 2019-04-12 17:12:24, 2019-04-12 17:12:24, -39,      464, 28:6C:07:EA:8B:FD,
E8:C7:4F:09:05:0D, 2019-04-12 17:12:54, 2019-04-12 17:12:54, -71,        1, (not associated) ,

